eng,tamil,pronunciation,synonym
basketball,கூடைப்பந்து,Kūṭaippantu,"basketball_game, hoops, basketball"
bathroom,குளியலறை,Kuḷiyalaṟai,"lavatory, privy, toilet, can, john, bathroom, bath, lav"
battery,மின்கலம்,Miṉkalam,"battery, shelling, barrage, barrage_fire, stamp_battery, bombardment, electric_battery, assault_and_battery"
battle,போர்,Pōr,"struggle, combat, fight, conflict, engagement, battle"
be,இரு,Iru,"comprise, beryllium, represent, make_up, cost, Be, atomic_number_4, follow, exist, equal, personify, live, glucinium, be, embody, constitute"
beach,கடற்கரை,Kaṭaṟkarai,beach
bean,பீன்,Pīṉ,"attic, bean_plant, bonce, edible_bean, bean, dome, noodle, noggin"
bear,தாங்க,Tāṅka,"nonplus, thump, crush, dead, pulsate, stick, pose, pulse, shell, round, beatnik, gravel, outfox, amaze, bewilder, bunk, work_over, beat_out, outwit, flap, overreach, tucker_out, tick, scramble, thrum, all_in, exhaust, baffle, measure, ticktock, outsmart, pound, dumbfound, tucker, vanquish, heartbeat, rhythm, ticktack, mystify, beat, beat_up, circumvent, pulsation, drum, wash_up, vex, perplex, puzzle, bushed, get, musical_rhythm, cadence, meter, stupefy, trounce, quiver, flummox, metre"
beat,அடி,Aṭi,beautiful
beautiful,அழகு,Aḻaku,"smasher, knockout, ravisher, beaut, dish, sweetheart, mantrap, peach, looker, beauty, lulu, stunner"
beauty,அழகு,Aḻaku,set()
because,ஏனெனில்,Ēṉeṉil,"get, turn, go, become, suit"
become,ஆக,Āka,"turn_in, be_intimate, go_to_sleep, have_a_go_at_it, retire, know, bottom, kip_down, screw, sleep_with, fuck, have_sex, bed, get_it_on, make_out, lie_with, layer, bang, love, roll_in_the_hay, sleep_together, hit_the_sack, hit_the_hay, eff, have_intercourse, seam, do_it, have_it_away, jazz, make_love, go_to_bed, bonk, get_laid, have_it_off, hump, crawl_in, sack_out"
bed,படுக்கை,Paṭukkai,"bedchamber, sleeping_accommodation, bedroom, sleeping_room, chamber"
bedroom,படுக்கையறை,Paṭukkaiyaṟai,beer
beer,பீர்,Pīr,"before, earlier, in_front, ahead"
before,முன்,Muṉ,"start, Begin, get, Menachem_Begin, set_about, begin, get_down, start_out, lead_off, set_out, commence"
begin,தொடங்கு,Toṭaṅku,"commencement, first, begin, lead_off, set_out, start, start_out, root, rootage, source, starting_time, set_about, showtime, kickoff, beginning, get-go, offset, commence, get, get_down, origin, outset"
beginning,ஆரம்பம்,Ārampam,"behaviour, deportment, conduct, demeanour, behavior, doings, demeanor"
behavior,நடத்தை,Naṭattai,"butt, bottom, slow, bum, in_arrears, arse, behindhand, tush, posterior, stern, fundament, rump, derriere, can, tail_end, ass, rear, buttocks, behind, seat, tail, fanny, hind_end, prat, buns, backside, nates, keister, rear_end, hindquarters, tooshie"
behind,பின்னால்,Piṉṉāl,"being, comprise, constitute, represent, make_up, existence, cost, follow, personify, exist, equal, live, beingness, be, embody, organism"
being,இருப்பது,Iruppatu,"belief, notion, feeling, opinion, impression"
belief,நம்பிக்கை,Nampikkai,"trust, believe, conceive, consider, think"
believe,நம்பு,Nampu,"Melville_Bell, bell, gong, buzzer, doorbell, Alexander_Graham_Bell, campana, chime, toll, Vanessa_Stephen, Alexander_Bell, Vanessa_Bell, Bell, bell_shape, ""ships_bell"", Alexander_Melville_Bell"
bell,பெல்,Pel,"belong, belong_to, go"
belong,சேர்ந்தவை,Cērntavai,"downstairs, infra, down_the_stairs, to_a_lower_place, beneath, at_a_lower_place, below, on_a_lower_floor, under"
below,கீழே,Kīḻē,"bang, belted_ammunition, swath, whack, belt_ammunition, rap, belt_out, bash, belt, whang, knock, smash"
belt,பெல்ட்,Pelṭ,"Bench, workbench, terrace, work_bench, bench, judiciary"
bench,பெஞ்ச்,Peñc,"deflect, crimp, curve, bend, crook, turn, crease, turn_away, twist, bow, plication, bending, deform, flexure, stoop, bend_dexter, fold, crouch, flex, Bend"
bend,வளைந்த,Vaḷainta,"below, to_a_lower_place, beneath, at_a_lower_place"
beneath,கீழே,Kīḻē,"benefit, do_good, gain, welfare, profit"
benefit,நன்மைகள்,Naṉmaikaḷ,set()
beside,அருகில்,Arukil,"in_any_case, also, as_well, besides, too, likewise"
besides,தவிர,Tavira,"estimable, just, proficient, skilful, full, beneficial, outdo, unspoiled, intimately, skillful, topper, respectable, substantially, upright, in_effect, adept, easily, near, undecomposed, trump, sound, scoop, good, safe, in_force, honorable, secure, considerably, dependable, practiced, unspoilt, best, salutary, ripe, advantageously, Best, expert, Charles_Herbert_Best, well, serious, outflank, C._H._Best, comfortably, effective, better, dear, right, honest"
best,சிறந்த,Ciṟanta,"look, reckon, stake, bet, wager, count, play, calculate, stakes, depend"
bet,பந்தயம்,Pantayam,"ameliorate, break, estimable, just, proficient, skilful, full, beneficial, unspoiled, intimately, skillful, respectable, substantially, upright, in_effect, adept, bettor, easily, near, undecomposed, sound, good, safe, in_force, honorable, secure, wagerer, considerably, dependable, meliorate, practiced, unspoilt, punter, amend, best, salutary, ripe, advantageously, expert, well, serious, comfortably, improve, effective, better, dear, right, honest"
better,சிறந்த,Ciṟanta,"betwixt, ""tween"", between"
between,இடையில்,Iṭaiyil,beyond
beyond,அப்பால்,Appāl,"Word_of_God, Good_Book, Holy_Writ, Christian_Bible, Word, Bible, Holy_Scripture, bible, Book, Scripture"
bible,திருவிவிலியம்,Tiruviviliyam,"expectant, liberal, grownup, handsome, bounteous, prominent, big, crowing, adult, self-aggrandising, giving, boastful, self-aggrandizing, openhanded, grown, bad, vainglorious, swelled, fully_grown, magnanimous, vauntingly, bragging, with_child, heavy, gravid, bighearted, enceinte, full-grown, boastfully, bountiful, cock-a-hoop, large, great, braggart, braggy, freehanded"
big,பெரிய,Periya,"wheel, motorcycle, bicycle, cycle, pedal, bike"
bike,உந்துஉருளி,Untu'uruḷi,"""bankers_bill"", broadsheet, handbill, visor, neb, peak, eyeshade, vizor, beak, broadside, throwaway, posting, nib, invoice, notice, greenback, Federal_Reserve_note, bank_note, bank_bill, account, measure, poster, note, pecker, flier, placard, bill, banknote, circular, billhook, card, charge, government_note, flyer"
bill,ர சி து,Ra ci tu,"1000000000000, zillion, million, 1000000000, one_million_million, trillion, gazillion, one_thousand_million, billion, jillion"
billion,பில்லியன்,Pilliyaṉ,"tie_up, bind, tie_down, adhere, stick, bandage, obligate, constipate, truss, bond, hold, hold_fast, tie, attach, stick_to, oblige"
bind,கட்டுதல்,Kaṭṭutal,"biological, biologic"
biological,உயிரியல்,Uyiriyal,"razzing, doll, boo, birdie, birdwatch, skirt, wench, hiss, dame, shuttlecock, bird, razz, snort, hoot, Bronx_cheer, raspberry, shuttle, chick, fowl"
bird,பறவை,Paṟavai,"nativity, birth, bear, giving_birth, nascence, give_birth, have, parentage, deliver, birthing, nascency, parturition"
birth,பிறப்பு,Piṟappu,"birthday, natal_day"
birthday,பிறந்தநாள்,Piṟantanāḷ,"flake, second, routine, morsel, chip, number, fleck, turn, snatch, bit, spot, moment, act, seize_with_teeth, sting, mo, piece, scrap, prick, burn, minute, bite"
bit,பிட்,Piṭ,"morsel, insect_bite, sharpness, chomp, seize_with_teeth, pungency, prick, burn, snack, bit, sting, bite, raciness, collation"
bite,கடி,Kaṭi,"blackamoor, calamitous, bleak, grim, black, disastrous, pitch_blackness, mordant, melanize, fateful, contraband, ignominious, dark, opprobrious, pitch-black, nigrify, smutty, sinister, fatal, Shirley_Temple, disgraceful, Shirley_Temple_Black, Negro, blackened, blacken, blackness, shameful, bootleg, melanise, inglorious, pitch-dark, black-market, Negroid, smuggled, total_darkness, Black_person, Joseph_Black, lightlessness, inkiness, dim, Black"
black,கருப்பு,Karuppu,"sword, brand, vane, steel, blade, leaf_blade"
blade,பிளேட்,Piḷēṭ,"blasted, blessed, goddam, rap, darned, deuced, blamed, blame, pick, inculpation, goddamn, damned, incrimination, goddamned, damn, fault, find_fault, charge, infernal"
blame,குற்றம்,Kuṟṟam,"all-inclusive, encompassing, wide, broad, cover, extensive, all-embracing, across-the-board, mantle, all-encompassing, panoptic, blanket"
blanket,போர்வை,Pōrvai,"subterfuge, unreasoning, blind, screen, unsighted, dim"
blind,குருட்டு,Kuruṭṭu,"auction_block, choke_up, freeze, stymy, mental_block, blocking, deflect, immobilize, block, obstruct, hinder, forget, embarrass, block_off, stuff, immobilise, obturate, occlude, kibosh, occlusion, pulley_block, blockade, engine_block, halt, bar, pulley, stymie, barricade, block_up, blockage, blank_out, closure, close_up, city_block, draw_a_blank, parry, stoppage, impede, pulley-block, stop, jam, cylinder_block, lug, cube"
block,தொகுதி,Tokuti,"bloodline, pedigree, lineage, descent, profligate, line_of_descent, blood_line, blood, rip, rakehell, line, ancestry, origin, stock, roue, stemma, parentage, rake"
blood,இரத்தம்,Irattam,"puff, muck_up, suck, mess_up, bump, bumble, black_eye, bluster, blow, gasconade, go_down_on, be_adrift, blast, drift, gust, bungle, fellate, fluff, screw_up, mishandle, shock, squander, spoil, vaunt, tout, louse_up, botch_up, shove_along, muff, botch, snow, nose_candy, blow_out, fuck_up, float, reversal, shoot_a_line, bollocks, bobble, swash, bodge, bollocks_up, bollix_up, gas, shove_off, coke, C, reverse, ball_up, setback, boast, brag, burn_out, bollix, foul_up, waste, flub, fumble"
blow,ஊதியம்,Ūtiyam,"gloomy, low, amobarbital_sodium, blueing, wild_blue_yonder, grim, blue_angel, puritanic, blue, racy, downcast, down, dismal, low-spirited, blue_air, spicy, dispirited, blue-blooded, dingy, aristocratical, gentle, gamy, blasphemous, bluing, drab, gamey, disconsolate, puritanical, profane, dreary, blue_devil, blueness, bluish, blueish, risque, aristocratic, juicy, down_in_the_mouth, sorry, Amytal, drear, downhearted, patrician, dark, blue_sky, naughty, depressed"
blue,நீல,Nīla,"plank, room, get_on, plug-in, display_panel, circuit_card, control_board, control_panel, board, display_board, instrument_panel, card, circuit_board, panel, add-in, gameboard, table, dining_table"
board,வாரியம்,Vāriyam,"sauceboat, gravy_holder, gravy_boat, boat"
boat,படகு,Paṭaku,"organic_structure, torso, physical_structure, dead_body, eubstance, personify, trunk, body, consistence, consistency, soundbox"
body,உடல்,Uṭal,"flush_it, flunk, bomb_calorimeter, bomb, bombard, dud, turkey, fail"
bomb,குண்டு,Kuṇṭu,"bombing, flush_it, flunk, bombardment, bomb, bombard, fail"
bombing,குண்டுவீச்சு,Kuṇṭuvīccu,"stick, bond_certificate, attachment, adhesiveness, attach, Julian_Bond, trammel, adhesion, alliance, bind, chemical_bond, bond, bail_bond, stick_to, bring_together, James_Bond, adhere, hamper, bail, bond_paper, hold_fast, tie, adherence, Bond, draw_together, shackle"
bond,பத்திரம்,Pattiram,"grind_away, cram, pearl, get_up, ivory, swot, swot_up, bone_up, os, debone, off-white, mug_up, drum, osseous_tissue, bone"
bone,எலும்பு,Elumpu,"book_of_account, reserve, ledger, Quran, Christian_Bible, book, Holy_Scripture, record, Scripture, playscript, Koran, Holy_Writ, leger, Word, hold, Bible, Good_Book, Book, volume, rule_book, Word_of_God, ""al-Quran"", script, account_book, record_book"
book,நூல்,Nūl,"gold_rush, windfall, bunce, smash, blast, godsend, boom, roaring, gravy, manna_from_heaven, boom_out, flourish, expand, nail, bonanza, roar, thunder, din, thrive, microphone_boom"
boom,பூம்,Pūm,"bang, flush, kick, kicking, boot, thrill, iron_heel, iron_boot, bring_up, charge, reboot, the_boot, rush"
boot,துவக்க,Tuvakka,"butt, moulding, butt_on, borderline, boundary_line, bound, skirt, frame, adjoin, delimitation, march, mete, abut, border, environ, ring, butt_against, perimeter, edge, frame_in, surround, margin, molding"
border,எல்லை,Ellai,"pay, stand, brook, have, expect, endure, natural, stomach, Max_Born, put_up, deliver, behave, accept, have_a_bun_in_the_oven, comport, take_over, conduct, turn_out, assume, give_birth, abide, born, innate, hold, suffer, carry, wear, tolerate, birth, deport, bear, digest, yield, acquit, support, stick_out, Born, gestate, contain"
born,பிறந்தார்,Piṟantār,"take_over, adopt, borrow, take_up"
borrow,கடன் வாங்க,Kaṭaṉ vāṅka,"hirer, political_boss, emboss, party_boss, honcho, stamp, brag, genus_Bos, Bos, chief, gaffer, boss, knob, foreman"
boss,பாஸ்,Pās,both
both,இருவரும்,Iruvarum,"inconvenience, discommode, infliction, gravel, annoyance, trouble_oneself, nettle, get_at, nark, get_to, pain, chafe, annoy, rag, put_out, hassle, pain_in_the_neck, pain_in_the_ass, trouble, devil, irritate, disoblige, rile, vex, botheration, inconvenience_oneself, fuss, bother, incommode"
